nohup: ignoring input
01:48:08,38.4'C,2400037120,0x0
01:48:13,37.3'C,1500012800,0x0
01:48:18,37.3'C,2400027136,0x0
01:48:23,39.5'C,2400030464,0x0
01:48:28,44.4'C,2400027136,0x0
01:48:33,49.4'C,2400027136,0x0
01:48:38,46.6'C,2400023808,0x0
01:48:43,48.3'C,2400033792,0x0
01:48:48,51.0'C,2400020480,0x0
01:48:53,52.7'C,2400023808,0x0
01:48:58,49.9'C,2400037120,0x0
01:49:03,51.6'C,2400030464,0x0
01:49:09,53.8'C,2400020480,0x0
01:49:14,52.7'C,2400027136,0x0
01:49:19,49.4'C,2400030464,0x0
01:49:24,53.8'C,2400023808,0x0
01:49:29,54.3'C,2400023808,0x0
01:49:34,53.8'C,2400023808,0x0
01:49:39,51.0'C,2400020480,0x0
01:49:44,54.9'C,2400030464,0x0
01:49:49,57.1'C,2400033792,0x0
01:49:54,56.5'C,2400027136,0x0
01:49:59,51.0'C,2400030464,0x0
01:50:04,56.0'C,2400027136,0x0
01:50:09,59.8'C,2400023808,0x0
01:50:14,56.0'C,2400023808,0x0
01:50:19,53.8'C,2400023808,0x0
01:50:24,55.4'C,2400020480,0x0
01:50:29,59.8'C,2400030464,0x0
01:50:34,54.9'C,2400033792,0x0
01:50:39,56.0'C,2400030464,0x0
01:50:44,58.7'C,2400020480,0x0
01:50:49,59.8'C,2400030464,0x0
01:50:54,54.3'C,2400033792,0x0
01:50:59,57.1'C,2400020480,0x0
01:51:04,59.3'C,2400017408,0x0
01:51:09,60.9'C,2400030464,0x0
01:51:14,56.0'C,2400023808,0x0
01:51:19,57.1'C,2400023808,0x0
01:51:24,59.8'C,2400033792,0x0
01:51:29,59.3'C,2400020480,0x0
01:51:34,56.0'C,2400017408,0x0
01:51:40,59.3'C,2400020480,0x0
01:51:45,58.7'C,2400033792,0x0
01:51:50,60.9'C,2400017408,0x0
01:51:55,56.5'C,2400020480,0x0
01:52:00,59.3'C,2400033792,0x0
01:52:05,59.3'C,2400037120,0x0
01:52:10,59.3'C,2400023808,0x0
01:52:15,56.0'C,2400027136,0x0
01:52:20,59.3'C,2400030464,0x0
01:52:25,60.9'C,2400027136,0x0
01:52:30,58.7'C,2400020480,0x0
01:52:35,56.0'C,2400020480,0x0
01:52:40,58.2'C,2400020480,0x0
01:52:45,59.8'C,2400017408,0x0
01:52:50,57.6'C,2400027136,0x0
01:52:55,56.5'C,2400020480,0x0
01:53:00,59.8'C,2400027136,0x0
01:53:05,60.9'C,2400020480,0x0
01:53:10,57.1'C,2400023808,0x0
01:53:15,57.6'C,2400030464,0x0
01:53:20,60.4'C,2400027136,0x0
01:53:25,59.8'C,2400017408,0x0
01:53:30,57.1'C,2400020480,0x0
01:53:35,56.0'C,2400027136,0x0
01:53:40,59.3'C,2400027136,0x0
01:53:45,59.8'C,2400033792,0x0
01:53:50,55.4'C,2400027136,0x0
01:53:55,58.2'C,2400023808,0x0
01:54:00,58.7'C,2400023808,0x0
01:54:05,60.9'C,2400030464,0x0
01:54:10,56.0'C,2400030464,0x0
01:54:16,59.8'C,2400020480,0x0
01:54:21,59.3'C,2400020480,0x0
01:54:26,60.4'C,2400020480,0x0
01:54:31,56.0'C,2400027136,0x0
01:54:36,58.2'C,2400020480,0x0
01:54:41,59.3'C,2400033792,0x0
01:54:46,60.9'C,2400017408,0x0
01:54:51,56.0'C,2400027136,0x0
01:54:56,61.5'C,2400023808,0x0
01:55:01,59.8'C,2400033792,0x0
01:55:06,59.8'C,2400033792,0x0
01:55:11,54.9'C,2400027136,0x0
01:55:16,58.7'C,2400023808,0x0
01:55:21,62.0'C,2400027136,0x0
01:55:26,57.1'C,2400030464,0x0
01:55:31,57.6'C,2400023808,0x0
01:55:36,59.8'C,2400020480,0x0
01:55:41,60.4'C,2400023808,0x0
01:55:46,57.1'C,2400033792,0x0
01:55:51,57.6'C,2400027136,0x0
01:55:56,60.4'C,2400030464,0x0
01:56:01,61.5'C,2400020480,0x0
01:56:06,57.6'C,2400030464,0x0
01:56:11,57.1'C,2400020480,0x0
01:56:16,60.9'C,2400020480,0x0
01:56:21,59.3'C,2400020480,0x0
01:56:26,56.5'C,2400023808,0x0
01:56:31,57.6'C,2400023808,0x0
01:56:36,60.9'C,2400020480,0x0
01:56:41,61.5'C,2400030464,0x0
01:56:46,57.1'C,2400027136,0x0
01:56:52,58.7'C,2400027136,0x0
01:56:57,60.9'C,2400020480,0x0
01:57:02,60.9'C,2400020480,0x0
01:57:07,56.0'C,2400020480,0x0
01:57:12,59.8'C,2400030464,0x0
01:57:17,60.9'C,2400030464,0x0
01:57:22,58.7'C,2400033792,0x0
01:57:27,55.4'C,2400030464,0x0
01:57:32,60.9'C,2400033792,0x0
01:57:37,60.9'C,2400020480,0x0
01:57:42,59.8'C,2400033792,0x0
01:57:47,56.0'C,2400030464,0x0
01:57:52,59.3'C,2400023808,0x0
01:57:57,60.9'C,2400030464,0x0
01:58:02,59.8'C,2400030464,0x0
01:58:07,56.5'C,2400033792,0x0
01:58:12,59.8'C,2400030464,0x0
01:58:17,62.0'C,2400027136,0x0
01:58:22,59.8'C,2400017408,0x0
01:58:27,56.5'C,2400023808,0x0
01:58:32,59.3'C,2400020480,0x0
01:58:37,60.9'C,2400020480,0x0
01:58:42,57.1'C,2400033792,0x0
01:58:47,58.7'C,2400023808,0x0
01:58:52,60.9'C,2400030464,0x0
01:58:57,62.0'C,2400017408,0x0
01:59:02,57.1'C,2400020480,0x0
01:59:07,59.3'C,2400030464,0x0
01:59:12,60.9'C,2400033792,0x0
01:59:17,61.5'C,2400020480,0x0
01:59:23,56.5'C,2400027136,0x0
01:59:28,58.7'C,2400023808,0x0
01:59:33,60.9'C,2400020480,0x0
01:59:38,60.4'C,2400020480,0x0
01:59:43,55.4'C,2400033792,0x0
01:59:48,59.8'C,2400020480,0x0
01:59:53,61.5'C,2400023808,0x0
01:59:58,60.4'C,2400033792,0x0
02:00:03,56.0'C,2400030464,0x0
02:00:08,58.7'C,2400020480,0x0
02:00:13,61.5'C,2400030464,0x0
02:00:18,59.3'C,2400020480,0x0
02:00:23,56.5'C,2400020480,0x0
02:00:28,60.4'C,2400033792,0x0
02:00:33,60.4'C,2400023808,0x0
02:00:38,58.2'C,2400020480,0x0
02:00:43,57.1'C,2400020480,0x0
02:00:48,59.3'C,2400023808,0x0
02:00:53,59.8'C,2400037120,0x0
02:00:58,57.6'C,2400023808,0x0
02:01:03,58.7'C,2400033792,0x0
02:01:08,60.9'C,2400020480,0x0
02:01:13,60.4'C,2400033792,0x0
02:01:18,57.1'C,2400020480,0x0
02:01:23,59.3'C,2400023808,0x0
02:01:28,60.4'C,2400030464,0x0
02:01:33,62.6'C,2400033792,0x0
02:01:38,57.1'C,2400027136,0x0
02:01:43,59.8'C,2400023808,0x0
02:01:49,62.0'C,2400023808,0x0
02:01:54,60.4'C,2400033792,0x0
02:01:59,56.5'C,2400020480,0x0
02:02:04,59.8'C,2400030464,0x0
02:02:09,59.8'C,2400020480,0x0
02:02:14,60.4'C,2400033792,0x0
02:02:19,56.5'C,2400037120,0x0
02:02:24,58.7'C,2400023808,0x0
02:02:29,60.9'C,2400023808,0x0
02:02:34,58.2'C,2400027136,0x0
02:02:39,54.9'C,2400020480,0x0
02:02:44,59.8'C,2400020480,0x0
02:02:49,61.5'C,2400017408,0x0
02:02:54,58.7'C,2400023808,0x0
02:02:59,57.6'C,2400020480,0x0
02:03:04,59.3'C,2400027136,0x0
02:03:09,60.9'C,2400027136,0x0
02:03:14,58.7'C,2400023808,0x0
02:03:19,59.8'C,2400030464,0x0
02:03:24,60.9'C,2400017408,0x0
02:03:29,60.9'C,2400020480,0x0
02:03:34,57.1'C,2400023808,0x0
02:03:39,59.3'C,2400030464,0x0
02:03:44,61.5'C,2400027136,0x0
02:03:49,59.3'C,2400017408,0x0
02:03:54,57.1'C,2400033792,0x0
02:03:59,58.7'C,2400023808,0x0
02:04:04,60.4'C,2400027136,0x0
02:04:10,60.4'C,2400023808,0x0
02:04:15,57.1'C,2400023808,0x0
